Iteration,four_corners_50_n4_human,four_corners_50_n4,four_corners_50_n8_human,four_corners_50_n8,non_n4_four_corners_50_1,non_n4_four_corners_50_2,non_n4_four_corners_50_3,human_n4_four_corners_50_1,human_n4_four_corners_50_2,human_n4_four_corners_50_3,non_n8_four_corners_50_1,non_n8_four_corners_50_2,non_n8_four_corners_50_3,human_n8_four_corners_50_1,human_n8_four_corners_50_2,human_n8_four_corners_50_3
33,972808231.9,1108459538,293095114.3,337303084.8,687185319,676427781.8,687644212.4,739523583.4,751657442.7,721922003.9,358862485.8,346387866.3,436953220,346418600,340803256.7,403447956.7
34,972808231.9,1107681388,291239005.6,332184214,642722734.1,669723370.7,684304438.2,732467392.2,751657442.7,653407027.1,350742124.2,346387866.3,388561173.8,333529967.5,337718780.9,360925725.9
35,1844646791,1322411463,289949822.2,325456534.1,589187684.2,2340995854,3772014578,3263549028,2320401614,638235198.3,344186188.1,817229611.7,371002656.1,321096701.6,335281805.8,354754859.1
36,1133322220,973049916.8,289949822.2,318794060.3,557641169.6,748559245.7,741563695.3,870569590.2,767738621.1,638235198.3,340607922.3,399018008.8,363472766.8,310506593.8,334956171.2,338281121.6
37,1041076211,946820443.2,289949822.2,312702021.5,546812691.7,750754772.4,711652512.4,812815134,751424309.4,638235198.3,339294408.4,366804234,359569016.2,301281403.3,334390715.6,333537668.2
38,1022223390,946762928.8,289949822.2,306151196,546812691.7,751779339.4,692284709.5,1728059728,742267856.8,638235198.3,337354849.6,343257904.9,354461597.5,298527974.2,333687426.4,333519276.4
39,1008528337,939650743.7,289949822.2,300250516.7,546812691.7,731018686.1,679800954.4,826628023.6,747044961.7,638235198.3,337354849.6,336620854.4,348430352.7,295218231.9,333522399.8,334810602.6
40,997021576.1,946061400.8,289949822.2,297264430.1,546812691.7,731018686.1,679749823,797862145.5,747044961.7,638235198.3,337354849.6,335315532,346788450.8,291973740.2,333522399.8,334810602.6
41,999722945.6,946061400.8,289949822.2,295600200.3,546812691.7,731018686.1,679749823,755793536.1,747044961.7,638235198.3,337354849.6,331815700,346788450.8,291973740.2,333522399.8,334810602.6
42,988854133.7,946061400.8,289949822.2,291537676.6,546812691.7,731018686.1,679749823,723551979.6,747044961.7,638235198.3,337354849.6,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
43,991098019.8,946061400.8,289949822.2,291537676.6,546812691.7,731018686.1,679749823,690644548.1,747044961.7,638235198.3,337354849.6,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
44,1441890706,1429151385,289949822.2,291537676.6,546812691.7,731018686.1,679749823,1599554945,747044961.7,638235198.3,1016919359,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
45,958816084,985749333.6,289949822.2,291537676.6,546812691.7,731018686.1,679749823,727565618,747044961.7,638235198.3,396799526.3,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
46,955780725.5,970073221.4,289949822.2,291537676.6,546812691.7,731018686.1,679749823,710458802.1,747044961.7,638235198.3,351374434.7,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
47,955664735.7,958997612.5,289949822.2,291537676.6,546812691.7,731018686.1,679749823,692169222.2,747044961.7,638235198.3,339052027.8,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
48,957875131,958997612.5,289949822.2,291537676.6,546812691.7,731018686.1,679749823,683157608.8,747044961.7,638235198.3,336470001.3,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
49,957875131,958997612.5,289949822.2,291537676.6,546812691.7,731018686.1,679749823,679081134.6,747044961.7,638235198.3,336470001.3,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
50,957875131,958997612.5,289949822.2,291537676.6,546812691.7,731018686.1,679749823,679081134.6,747044961.7,638235198.3,336470001.3,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
51,957875131,958997612.5,289949822.2,291537676.6,546812691.7,731018686.1,679749823,679081134.6,747044961.7,638235198.3,336470001.3,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
52,957875131,958997612.5,289949822.2,291537676.6,546812691.7,731018686.1,679749823,679081134.6,747044961.7,638235198.3,336470001.3,332105126.4,346788450.8,291973740.2,333522399.8,334810602.6
53,957875131,958997612.5,289949822.2,291537676.6,546812691.7,1389612032,5259805030,679081134.6,2648777231,638235198.3,336470001.3,1027814571,346788450.8,291973740.2,333522399.8,334810602.6
54,957875131,958997612.5,289949822.2,291537676.6,546812691.7,806616602.1,695264214,679081134.6,841172867.3,638235198.3,336470001.3,380026502.8,346788450.8,291973740.2,333522399.8,334810602.6
55,957875131,958997612.5,289949822.2,291537676.6,546812691.7,778164208.9,682742253.2,679081134.6,803293818.6,638235198.3,336470001.3,357108450.8,346788450.8,291973740.2,333522399.8,334810602.6
56,957875131,958997612.5,289949822.2,291537676.6,546812691.7,760672731.3,680638712.1,679081134.6,764583664.4,638235198.3,336470001.3,348897887.8,346788450.8,291973740.2,333522399.8,334810602.6
57,957875131,958997612.5,289949822.2,291537676.6,546812691.7,715836396,679178816.2,679081134.6,730456536.1,638235198.3,336470001.3,342507098.5,346788450.8,291973740.2,333522399.8,334810602.6
58,957875131,958997612.5,289949822.2,291537676.6,546812691.7,686336630.6,679178816.2,679081134.6,713223248.3,638235198.3,336470001.3,337912462.2,346788450.8,291973740.2,333522399.8,334810602.6
