X,Y,Means,Confidence
0.08,0.76,0.21241,0
0.08,0.78,0.22852,0
0.08,0.8,0.23272,0
0.08,0.82,0.22138,0
0.08,0.84,0.19546,0
0.08,0.86,0.15971,0
0.08,0.88,0.12059,0
0.08,0.9,0.084098,0
0.08,0.92,0.054149,0
0.08,0.94,0.032184,0
0.08,0.96,0.017653,0
0.08,0.98,0.0089318,0
0.1,0.02,0.013869,0
0.1,0.04,0.027412,0
0.1,0.06,0.049975,0
0.1,0.08,0.084083,0
0.1,0.1,0.13059,0
0.1,0.12,0.18726,0
0.1,0.14,0.24799,0
0.1,0.16,0.30352,0
0.1,0.18,0.34376,0
0.1,0.2,0.36137,0
0.1,0.22,0.35485,0
0.1,0.24,0.32983,0
0.1,0.26,0.29757,0
0.1,0.28,0.27121,0
0.1,0.3,0.26114,0
0.1,0.32,0.27134,0
0.1,0.34,0.29798,0
0.1,0.36,0.33095,0
0.1,0.38,0.35766,0
0.1,0.4,0.36787,0
0.1,0.42,0.35766,0
0.1,0.44,0.33095,0
0.1,0.46,0.29798,0
0.1,0.48,0.27135,0
0.1,0.5,0.26119,0
0.1,0.52,0.27135,0
0.1,0.54,0.29798,0
0.1,0.56,0.33095,0
0.1,0.58,0.35766,0
0.1,0.6,0.36787,0
0.1,0.62,0.35766,0
0.1,0.64,0.33095,0
0.1,0.66,0.29798,0
0.1,0.68,0.27134,0
0.1,0.7,0.26114,0
0.1,0.72,0.27121,0
0.1,0.74,0.29757,0
0.1,0.76,0.32983,0
0.1,0.78,0.35485,0
0.1,0.8,0.36137,0
0.1,0.82,0.34376,0
0.1,0.84,0.30352,0
0.1,0.86,0.24799,0
0.1,0.88,0.18726,0
0.1,0.9,0.13059,0
0.1,0.92,0.084083,0
0.1,0.94,0.049975,0
0.1,0.96,0.027412,0
0.1,0.98,0.013869,0
0.12,0.02,0.01988,0
0.12,0.04,0.039291,0
0.12,0.06,0.071632,0
0.12,0.08,0.12052,0
0.12,0.1,0.18718,0
0.12,0.12,0.26841,0
0.12,0.14,0.35547,0
0.12,0.16,0.43505,0
0.12,0.18,0.49273,0
0.12,0.2,0.51797,0
0.12,0.22,0.50863,0
0.12,0.24,0.47277,0
0.12,0.26,0.42653,0
0.12,0.28,0.38874,0
0.12,0.3,0.37431,0
0.12,0.32,0.38892,0
0.12,0.34,0.42711,0
0.12,0.36,0.47437,0
0.12,0.38,0.51265,0
0.12,0.4,0.52729,0
0.12,0.42,0.51265,0
0.12,0.44,0.47437,0
0.12,0.46,0.42712,0
0.12,0.48,0.38894,0
0.12,0.5,0.37437,0
0.12,0.52,0.38894,0
0.12,0.54,0.42712,0
0.12,0.56,0.47437,0
0.12,0.58,0.51265,0
0.12,0.6,0.52729,0
0.12,0.62,0.51265,0
0.12,0.64,0.47437,0
0.12,0.66,0.42711,0
0.12,0.68,0.38892,0
0.12,0.7,0.37431,0
0.12,0.72,0.38874,0
0.12,0.74,0.42653,0
0.12,0.76,0.47277,0
0.12,0.78,0.50863,0
0.12,0.8,0.51797,0
0.12,0.82,0.49273,0
0.12,0.84,0.43505,0
0.12,0.86,0.35547,0
0.12,0.88,0.26841,0
0.12,0.9,0.18718,0
0.12,0.92,0.12052,0
0.12,0.94,0.071632,0
0.12,0.96,0.039291,0
0.12,0.98,0.01988,0
0.14,0.02,0.026304,0
0.14,0.04,0.051987,0
0.14,0.06,0.094779,0
0.14,0.08,0.15947,0
0.14,0.1,0.24767,0
0.14,0.12,0.35514,0
0.14,0.14,0.47033,0
0.14,0.16,0.57563,0
0.14,0.18,0.65195,0
0.14,0.2,0.68535,0
0.14,0.22,0.67299,0
0.14,0.24,0.62554,0
0.14,0.26,0.56436,0
0.14,0.28,0.51436,0
0.14,0.3,0.49526,0
0.14,0.32,0.5146,0
0.14,0.34,0.56513,0
0.14,0.36,0.62766,0
0.14,0.38,0.67831,0
0.14,0.4,0.69767,0
0.14,0.42,0.67831,0
0.14,0.44,0.62766,0
0.14,0.46,0.56514,0
0.14,0.48,0.51463,0
0.14,0.5,0.49535,0
0.14,0.52,0.51463,0
0.14,0.54,0.56514,0
0.14,0.56,0.62766,0
0.14,0.58,0.67831,0
0.14,0.6,0.69767,0
0.14,0.62,0.67831,0
0.14,0.64,0.62766,0
0.14,0.66,0.56513,0
0.14,0.68,0.5146,0
0.14,0.7,0.49526,0
0.14,0.72,0.51436,0
0.14,0.74,0.56436,0
0.14,0.76,0.62554,0
0.14,0.78,0.67299,0
0.14,0.8,0.68535,0
0.14,0.82,0.65195,0
0.14,0.84,0.57563,0
0.14,0.86,0.47033,0
0.14,0.88,0.35514,0
0.14,0.9,0.24767,0
0.14,0.92,0.15947,0
0.14,0.94,0.094779,0
0.14,0.96,0.051987,0
0.14,0.98,0.026304,0
0.16,0.02,0.032128,0
0.16,0.04,0.063497,0
0.16,0.06,0.11576,0
0.16,0.08,0.19477,0
0.16,0.1,0.3025,0
0.16,0.12,0.43377,0
0.16,0.14,0.57446,0
0.16,0.16,0.70308,0
0.16,0.18,0.7963,0
0.16,0.2,0.83709,0
0.16,0.22,0.82199,0
0.16,0.24,0.76404,0
0.16,0.26,0.68931,0
0.16,0.28,0.62824,0
0.16,0.3,0.60492,0
0.16,0.32,0.62854,0
0.16,0.34,0.69025,0
0.16,0.36,0.76663,0
0.16,0.38,0.82849,0
0.16,0.4,0.85214,0
0.16,0.42,0.82849,0
0.16,0.44,0.76663,0
0.16,0.46,0.69026,0
0.16,0.48,0.62857,0
0.16,0.5,0.60502,0
0.16,0.52,0.62857,0
0.16,0.54,0.69026,0
0.16,0.56,0.76663,0
0.16,0.58,0.82849,0
0.16,0.6,0.85214,0
0.16,0.62,0.82849,0
0.16,0.64,0.76663,0
0.16,0.66,0.69025,0
0.16,0.68,0.62854,0
0.16,0.7,0.60492,0
0.16,0.72,0.62824,0
0.16,0.74,0.68931,0
0.16,0.76,0.76404,0
0.16,0.78,0.82199,0
0.16,0.8,0.83709,0
0.16,0.82,0.7963,0
0.16,0.84,0.70308,0
0.16,0.86,0.57446,0
0.16,0.88,0.43377,0
0.16,0.9,0.3025,0
0.16,0.92,0.19477,0
0.16,0.94,0.11576,0
0.16,0.96,0.063497,0
0.16,0.98,0.032128,0
0.18,0.02,0.036224,0
0.18,0.04,0.071593,0
0.18,0.06,0.13052,0
0.18,0.08,0.21961,0
0.18,0.1,0.34107,0
0.18,0.12,0.48908,0
0.18,0.14,0.64771,0
0.18,0.16,0.79272,0
0.18,0.18,0.89782,0
0.18,0.2,0.94381,0
0.18,0.22,0.9268,0
0.18,0.24,0.86145,0
0.18,0.26,0.77719,0
0.18,0.28,0.70834,0
0.18,0.3,0.68204,0
0.18,0.32,0.70867,0
0.18,0.34,0.77826,0
0.18,0.36,0.86437,0
0.18,0.38,0.93412,0
0.18,0.4,0.96079,0
0.18,0.42,0.93412,0
0.18,0.44,0.86437,0
0.18,0.46,0.77827,0
0.18,0.48,0.70871,0
0.18,0.5,0.68216,0
0.18,0.52,0.70871,0
0.18,0.54,0.77827,0
0.18,0.56,0.86437,0
0.18,0.58,0.93412,0
0.18,0.6,0.96079,0
0.18,0.62,0.93412,0
0.18,0.64,0.86437,0
0.18,0.66,0.77826,0
0.18,0.68,0.70867,0
0.18,0.7,0.68204,0
0.18,0.72,0.70834,0
0.18,0.74,0.77719,0
0.18,0.76,0.86145,0
0.18,0.78,0.9268,0
0.18,0.8,0.94381,0
0.18,0.82,0.89782,0
0.18,0.84,0.79272,0
0.18,0.86,0.64771,0
0.18,0.88,0.48908,0
0.18,0.9,0.34107,0
0.18,0.92,0.21961,0
0.18,0.94,0.13052,0
0.18,0.96,0.071593,0
0.18,0.98,0.036224,0
0.2,0.02,0.037702,0
0.2,0.04,0.074515,0
0.2,0.06,0.13585,0
0.2,0.08,0.22857,0
0.2,0.1,0.35499,0
0.2,0.12,0.50903,0
0.2,0.14,0.67414,0
0.2,0.16,0.82507,0
0.2,0.18,0.93447,0
0.2,0.2,0.98233,0
0.2,0.22,0.96462,0
0.2,0.24,0.89661,0
0.2,0.26,0.80891,0
0.2,0.28,0.73725,0
0.2,0.3,0.70988,0
0.2,0.32,0.73759,0
0.2,0.34,0.81002,0
0.2,0.36,0.89964,0
0.2,0.38,0.97225,0
0.2,0.4,1,0
0.2,0.42,0.97225,0
0.2,0.44,0.89965,0
0.2,0.46,0.81003,0
0.2,0.48,0.73763,0
0.2,0.5,0.71,0
0.2,0.52,0.73763,0
0.2,0.54,0.81003,0
0.2,0.56,0.89965,0
0.2,0.58,0.97225,0
0.2,0.6,1,0
0.2,0.62,0.97225,0
0.2,0.64,0.89964,0
0.2,0.66,0.81002,0
0.2,0.68,0.73759,0
0.2,0.7,0.70988,0
0.2,0.72,0.73725,0
0.2,0.74,0.80891,0
0.2,0.76,0.89661,0
0.2,0.78,0.96462,0
0.2,0.8,0.98233,0
0.2,0.82,0.93447,0
0.2,0.84,0.82507,0
0.2,0.86,0.67414,0
0.2,0.88,0.50903,0
0.2,0.9,0.35499,0
0.2,0.92,0.22857,0
0.2,0.94,0.13585,0
0.2,0.96,0.074515,0
0.2,0.98,0.037702,0
0.22,0.02,0.036224,0
0.22,0.04,0.071593,0
0.22,0.06,0.13052,0
0.22,0.08,0.21961,0
0.22,0.1,0.34107,0
0.22,0.12,0.48908,0
0.22,0.14,0.64771,0
0.22,0.16,0.79272,0
0.22,0.18,0.89782,0
0.22,0.2,0.94381,0
0.22,0.22,0.9268,0
0.22,0.24,0.86145,0
0.22,0.26,0.77719,0
0.22,0.28,0.70834,0
0.22,0.3,0.68204,0
0.22,0.32,0.70867,0
0.22,0.34,0.77826,0
0.22,0.36,0.86437,0
0.22,0.38,0.93412,0
0.22,0.4,0.96079,0
0.22,0.42,0.93412,0
0.22,0.44,0.86437,0
0.22,0.46,0.77827,0
0.22,0.48,0.70871,0
0.22,0.5,0.68216,0
0.22,0.52,0.70871,0
0.22,0.54,0.77827,0
0.22,0.56,0.86437,0
0.22,0.58,0.93412,0
0.22,0.6,0.96079,0
0.22,0.62,0.93412,0
0.22,0.64,0.86437,0
0.22,0.66,0.77826,0
0.22,0.68,0.70867,0
0.22,0.7,0.68204,0
0.22,0.72,0.70834,0
0.22,0.74,0.77719,0
0.22,0.76,0.86145,0
0.22,0.78,0.9268,0
0.22,0.8,0.94381,0
0.22,0.82,0.89782,0
0.22,0.84,0.79272,0
0.22,0.86,0.64771,0
0.22,0.88,0.48908,0
0.22,0.9,0.34107,0
0.22,0.92,0.21961,0
0.22,0.94,0.13052,0
0.22,0.96,0.071593,0
0.22,0.98,0.036224,0
0.24,0.02,0.032128,0
0.24,0.04,0.063497,0
0.24,0.06,0.11576,0
0.24,0.08,0.19477,0
0.24,0.1,0.3025,0
0.24,0.12,0.43377,0
0.24,0.14,0.57446,0
0.24,0.16,0.70308,0
0.24,0.18,0.7963,0
0.24,0.2,0.83709,0
0.24,0.22,0.82199,0
0.24,0.24,0.76404,0
0.24,0.26,0.68931,0
0.24,0.28,0.62824,0
0.24,0.3,0.60492,0
0.24,0.32,0.62854,0
0.24,0.34,0.69026,0
0.24,0.36,0.76663,0
0.24,0.38,0.82849,0
0.24,0.4,0.85214,0
0.24,0.42,0.82849,0
0.24,0.44,0.76663,0
0.24,0.46,0.69026,0
0.24,0.48,0.62857,0
0.24,0.5,0.60502,0
0.24,0.52,0.62857,0
0.24,0.54,0.69026,0
0.24,0.56,0.76663,0
0.24,0.58,0.82849,0
0.24,0.6,0.85214,0
0.24,0.62,0.82849,0
0.24,0.64,0.76663,0
0.24,0.66,0.69026,0
0.24,0.68,0.62854,0
0.24,0.7,0.60492,0
0.24,0.72,0.62824,0
0.24,0.74,0.68931,0
0.24,0.76,0.76404,0
0.24,0.78,0.82199,0
0.24,0.8,0.83709,0
0.24,0.82,0.7963,0
0.24,0.84,0.70308,0
0.24,0.86,0.57446,0
0.24,0.88,0.43377,0
0.24,0.9,0.3025,0
0.24,0.92,0.19477,0
0.24,0.94,0.11576,0
0.24,0.96,0.063497,0
0.24,0.98,0.032128,0
0.26,0.02,0.026304,0
0.26,0.04,0.051987,0
0.26,0.06,0.09478,0
0.26,0.08,0.15947,0
0.26,0.1,0.24767,0
0.26,0.12,0.35514,0
0.26,0.14,0.47033,0
0.26,0.16,0.57563,0
0.26,0.18,0.65195,0
0.26,0.2,0.68535,0
0.26,0.22,0.67299,0
0.26,0.24,0.62554,0
0.26,0.26,0.56436,0
0.26,0.28,0.51436,0
0.26,0.3,0.49527,0
0.26,0.32,0.5146,0
0.26,0.34,0.56513,0
0.26,0.36,0.62766,0
0.26,0.38,0.67831,0
0.26,0.4,0.69768,0
0.26,0.42,0.67831,0
0.26,0.44,0.62766,0
0.26,0.46,0.56514,0
0.26,0.48,0.51463,0
0.26,0.5,0.49535,0
0.26,0.52,0.51463,0
0.26,0.54,0.56514,0
0.26,0.56,0.62766,0
0.26,0.58,0.67831,0
0.26,0.6,0.69768,0
0.26,0.62,0.67831,0
0.26,0.64,0.62766,0
0.26,0.66,0.56513,0
0.26,0.68,0.5146,0
0.26,0.7,0.49527,0
0.26,0.72,0.51436,0
0.26,0.74,0.56436,0
0.26,0.76,0.62554,0
0.26,0.78,0.67299,0
0.26,0.8,0.68535,0
0.26,0.82,0.65195,0
0.26,0.84,0.57563,0
0.26,0.86,0.47033,0
0.26,0.88,0.35514,0
0.26,0.9,0.24767,0
0.26,0.92,0.15947,0
0.26,0.94,0.09478,0
0.26,0.96,0.051987,0
0.26,0.98,0.026304,0
0.28,0.02,0.01988,0
0.28,0.04,0.039291,0
0.28,0.06,0.071633,0
0.28,0.08,0.12052,0
0.28,0.1,0.18718,0
0.28,0.12,0.26841,0
0.28,0.14,0.35547,0
0.28,0.16,0.43505,0
0.28,0.18,0.49274,0
0.28,0.2,0.51798,0
0.28,0.22,0.50864,0
0.28,0.24,0.47277,0
0.28,0.26,0.42653,0
0.28,0.28,0.38875,0
0.28,0.3,0.37431,0
0.28,0.32,0.38893,0
0.28,0.34,0.42712,0
0.28,0.36,0.47438,0
0.28,0.38,0.51266,0
0.28,0.4,0.52729,0
0.28,0.42,0.51266,0
0.28,0.44,0.47438,0
0.28,0.46,0.42712,0
0.28,0.48,0.38895,0
0.28,0.5,0.37438,0
0.28,0.52,0.38895,0
0.28,0.54,0.42712,0
0.28,0.56,0.47438,0
0.28,0.58,0.51266,0
