X,Y,Means,Confidence
179.98,327.07,3,0.9
122.76,386.14,2,0
80.301,277.23,2,0
213.21,216.31,2,0
274.13,312.3,2,0
264.9,426.75,2,0
735.63,120.32,3,0
787.32,46.477,3,0
610.1,76.013,2,0
755.94,251.38,2,0
822.39,148.01,2,0
641.48,218.16,2,0
95.069,98.165,1,0
388.58,77.859,1,0
327.66,192.31,1,0
530.72,151.7,2,0
491.96,242.15,1,0
593.49,334.45,1,0
438.42,384.29,1,0
748.55,354.76,1,0
842.7,432.29,1,0
