X,Y,Means,Confidence
50,50,0.41689,1
150,50,0.62806,0
250,50,0.62942,0
350,50,0.43345,0
450,50,0.16559,0
550,50,0.029129,0
650,50,0.00066693,0
50,150,0.50905,0
150,150,0.85448,0
250,150,0.99607,0
350,150,0.75304,0
450,150,0.29863,0
550,150,0.054516,0
650,150,0.00286,0
